title,production,release_year,genre1,genre2,genre3,director1,director2,actor1,actor2,actor3,budget,production_country
Joy Comes in the Morning,  SCS FILMS ,2017, Drama,,, Shedrick Cortez-Stokes,,Victoria Mast,  Rose Marie Cavanna,  Michael Basil,0.11,US
The Best Democracy Money Can Buy,  Best Democracy ,2016, Documentary,,, Greg Palast , David Ambrose (VII),Leni Badpenny,  Richard Belzer,  Rosario Dawson,0.5,US
The S Word,  MadPix ,2017, Documentary,,, Lisa J. Klein,,Craig A. Miller,  Thomas Joiner,  William Schmitz Jr.,0.45,US
Mafiosa,  Back of the Bus Entertainment ,2016, Crime , Drama , Thriller, Yusaku Mizoguchi,,Fiona Dourif,  Katrina Law,  Carmen Argenziano,0.3,US
When Love Happens Again,  PHB Films ,2016, Romance,,, Seyi Babatope,,Weruche Opia,  Oreka Godis,  Enyinna Nwigwe,0.05,NG
Beneath the Crown,  Lisa Mills Films ,2016, Documentary,,, Susan Gallagher (I) , Lisa Mills (I),Susan Gallagher,  Sylvia Hitchcock Carson,,0.025,US
Her Sey Mumkun,  Netvizyon Mediapark ,2017, Comedy,,, Alper Babayagmur,,Azra Akin,  Mehtap Bayri,  Yetkin Dikinciler,0.5,TR
Devil's Preacher,  Twisted Pine ,2016, Horror,,, John Ray (XIII),,Amber Dawn Fox,  Cody Mason,  Jeff May,0.003,US
Undying,  Rosie Ruth Pictures ,2017, Comedy , Horror , Romance, James Logan (II),,James Russo,  Teri Reeves,  Dennis Keiffer,0.5,US
Silhouettes,  Midwinter Studios ,2017, Drama,,, Gustavo Bernal-Mancheno,,Dylan Diveley,  Danny Fittante,  Brian Greenberg,0.06,US
Blood Woods,  Polestar Productions ,2017, Horror,,, John Reign,,Allie Marshall,  Dave Campbell,  Allyson R Hood,0.01,US
Lewis Spears: Death Threats Don't Scare Me,  Lewis Spears ,2018, Comedy,,, Antonio Cafasso (I),,Lewis Spears,,,0.051,AU
Out of the Heart,  Hone St. Productions ,2016, Crime , Drama , Mystery, Michael Jordan Mayo,,Ryan Wayne,  Derek Childs,  Jed Taufer,0.1,US
Retro Hero,  PSU Television ,2017, Comedy , Drama,, Markus Lim,,Analesa Fisher,  Khayman Short,  Michael A LaFlamme,0.02,US
Meridian,  Usual Time Productions ,2016, Action,,, Jim Tshirt,,Reid Scott,  Elyse Levesque,  Joseph Buttler,0.004,US
65th,  BlackFloor Productions ,2017, Mystery , Thriller,, M. Shawn Cunningham,,Steve Harvey,  Ashley Graham,  Flo Rida,0.013,US
The Haunted House,  Artoax ,2018, Horror,,, Amin Shahrbanoo,,Ehsan Arman,  Eve Metsäranta,,0.085,US
Vacant House,  A Stream In The Desert ,2016, Drama , Horror , Thriller, Jeremy Casper (I),,Cris Cunningham,  Dee Ann Newkirk,  T.J. Maxwell,0.035,US
Strapped for Danger,  Scorpio Film Releasing ,2017, Comedy,,, Richard Griffin (II),,Anthony Gaudette,  Diego Guevara,  Dan Mauro,0.025,US
Pitch,  Telesto ,2016, Drama , Sport,, Eduard Bordukov,,Kylie Bunbury,  Mark-Paul Gosselaar,  Mark Consuelos,1.5,RU
Bigger Than the Beatles,  Fortaleza Filmworks ,2017, Drama,,, Vaughn Juares,,Joseph Andrew Schneider,  Douglas Bennett,  David Cade,0.6,US
Chasing,  Opus Pictures ,2016, Action , Comedy,, In-chun Oh,,Sang-Hyuk Han,  Jeong-tae Kim,  Seung-woo Kim,2.5,KR
Point of Conscience,  Populer Film ,2016, Drama,,, Olgun Ã–zdemir,,Turgay Tanülkü,  Serafettin Kaya,  Tayfun Sav,0.5,TR
HashTag,  Cine-God Studios ,2018, Thriller,,, Abu Iddris,,Chelsea Debo,  Suzanne Hobbs," "" Keila Ryan""",0.06,GH
The Job Interview,  Burnt Chili Productions ,2017, Sci-Fi,,, Sid Burston , Ernest Serrano,Dawna Lee Heising,  Patrice Fisher,  Michael Joseph Pierce,0.1,US
A Family Betrayal,  Six Kids Productions ,2018, Drama,,, Alan M. Brooks,,Gracie Marcellus,  Travis Cure," "" DeMarco Arrington""",0.007,US
Furry Nights,  Cyfuno Ventures ,2016, Horror,,, J. Zachary Thurman,,Keith Dowsett,  Amelia Hakleroad,  Allison Joy McDaniel,0.015,US
Bones of Contention,  Jezebel Productions ,2017, Documentary , History,, Andrea Weiss (I),,Miguel Ángel Muñoz,  Laura García Lorca,  Emilio Silva,0.3,US
Rush Brothers,  Homecourt Pictures ,2016, Documentary , Sport,, Jordan Haro (I),,Jonathan Abrams,  Jay Bilas,  Steve Kerr,0.05,US
Cultured Bigfoot,  Bilco Productions ,2018, Documentary,,, Bill Lancaster (III),,Tracy Arnold,  Cliff Barackman,  Lyle Blackburn,0.005,US
Breakthrough,  Corey Eugene Productions ,2018, Family,,, Charmin Lee,,Alessia Cara,  Kirsten Collins,  Shawn Mendes,0.05,US
6th NAFCA Annual Show,  Nollywood & African Film Critics' Awards (NAFCA) ,2017, Reality-TV,,, Charles R. Penland,,Michael Adegoke,  Razaaq Adoti,  Michael Aki,1.5,US
Long Live the King,  Benevolent Monster Productions ,2016, Documentary,,, Frank Dietz (I) , Trish Geiger,Brent Armstrong,  Mark F. Berry,  Bob Burns,0.04,US
Above the Drowning Sea,  Shine Express ,2017, Documentary,,, Rene Balcer , Nicola Zavaglia,Julianna Margulies,  Tony Goldwyn,  Nick Mancuso,1.5,HK
"No Panic, With a Hint of Hysteria",  CinemaVision ,2016, Comedy , Crime,, Tomasz Szafranski,,Stephen Baldwin,  Charlotte Kirk,  Zbigniew Zamachowski,1.5,PL
In Search of Doc Holliday,  Knox Robinson Films ,2016, Documentary , Western,, Dana Celeste Robinson,,Patrick Allitt,  Bill Dunn,  Gary L. Roberts,0.05,US
To the Top,  Forbidden Tears Productions. ,2016, Adventure , Drama , Musical, Jennifer Dawn (I),,Rodney Allen Rippy,  Chris Victor,  Chalet Lizette Brannan,1.5,US
Dead Men Tell No Tales,  Creepy Crawl Entertainment ,2016, Horror,,, Dusty W. Fleischman,,Jeremy Amos,  Ashley Asphyxiation,  Invader Bethany,0.002,US
John Kincaid Unleashed,  Lao Hollywood ,2017, Action,,, JJ Stomp,,Sifu Eric Bettencourt,  Greg Borchard,  Grandmaster Tony Bowles,0.5,US
Bloody Drama,,2017, Horror,,, Colin Bressler,,David Carbajal,  Mike Ettnie,  Sky Hawkes,0.002,
The Number,  Born Free Media ,2017, Drama,,, Khalo Matabane,,Presley Chweneyagae,  Deon Lotz,  Mothusi Magano,0.65,ZA
TINY: The Life of Erin Blackwell,,2016, Documentary,,, Martin Bell (I),,Erin Blackwell,  Mary Ellen Mark,,0.085,
Roxanne,  Indus Arts Council ,2016, Drama,,, Atif Ali (V),,Hinna Akhtar,  Maha Aziz,  Rabia Brohi,0.028,US
Weresquito: Nazi Hunter,  All For George Productions ,2016, Horror , Sci-Fi , War, Christopher R. Mihm,,Douglas Sidney,  Rachel Grubb,  James Norgard,0.01,US
Downtown,,2016, Drama,,,,,Frank Fontana,,,1,
Luther: The Life and Legacy of the German Reformer,,2017, Documentary,,, Stephen McCaskell,,R.C. Sproul,  Steven J. Lawson,  Stephen Nichols,0.15,
Easy Money,  FRCTYL Films ,2018, Action,,, Charles Steven DurÃ¡n , La La King,Michael Blackson,  California Brougham,  Ron Byrd,0.1,US
Road to Hell,  Ace Studios ,2017, Drama,,, Henry Luk,,Dawna Lee Heising,  Juju Chan,  Aki Aleong,0.8,CN
Live from Dhaka,  Khelna Chobi ,2016, Drama,,, Abdullah Mohammad Saad (II),,Tanvir Ahmed Chowdhury,  Mir Mosharrof Hossen,  Shimul Joy,0.01,BD
Lonely Boys,  Manhattan Filmworks ,2016, Comedy , Drama , Romance, Dan Simon (I),,Gregory Lay,  Dan Simon,  Richard Masur,0.15,US
The Goblin,  Michael & Company Pictures ,2017, Fantasy , Horror , Thriller, Wyatt Michael,,Robert Levey II,  Nicole Hargrove,  Josh Collins,0.03,US
El signo de Caronte,  Unlimited Producciones ,2016,,,, NÃ©stor F. Dennis,,Rubén Cortada,  Fernando Guillén Cuervo,  Lucía Jiménez,0.15,ES
Twelve Pole,  CineSavage Films ,2017, Horror,,, Sam Hodge (V),,Joshua Adkins,  Hannah Ruth Boyles,  Travis Robinson,0.005,US
Paranormalice,,2016, Drama , Horror , Thriller, Daniel L. Bamberg , Jeremy Crowson (I),Nicole Kruex,  Paula Marcenaro Solinger,  Kevin S. Van Hyning,0.015,
The Hudson Tribes,  LPZ Media ,2016, Crime , Drama , Romance, John Marco Lopez,,Leslie Lopez,  Sherman Howard,  Godfrey,0.25,US
One Night of Fear,  Four J's Production ,2016, Adventure , Horror , Thriller, Brian Troxell (I),,Jessica Sonneborn,  Suzi Lorraine,  Jimmy Dempster,0.02,US
12/12/1950,  JyoStar Enterprises ,2017, Comedy,,, Selvaah,,Thambi Ramayya,  Selvaah,  John Vijay,0.75,IN
Fighting Belle,  Integral Motion Pictures ,2017, Comedy,,, Sean Riley (I),,Sherri Eakin,  Tammie Smith,  Ryan Czerwonko,0.015,US
Trauma is a Time Machine,,2018, Drama,,, Angelica Zollo,,Augie Duke,  Gabe Fazio,  Elizabeth A. Davis,0.085,
Elsewhere,  Believe Limited ,2017, Drama,,, Patrick James Lynch,,Nick Vergara,  Nikki Borges,  Brian Teague Williams,0.02,US
Bank,,2016, Action , Crime , Drama, Jah (III),,Jah,  Cleave Cadle," "" Deaundre Bonds""",0.05,
Paradise,  American Brightlight Film Productions ,2016, Comedy , Drama,, Ali Atshani,,Peter Kurth,  Yuliya Vysotskaya,  Viktor Sukhorukov,0.4,US
Making Moves,  Baz Brothers Production ,2017, Action , Comedy , Crime, Jeff Estinel Bazile , Milos Story,Darone Okolie,  Chandra Currelley,  LaKeta Booker,0.2,US
Borrasca,  Desvio Filmes ,2017, Drama,,, Francisco Garcia (IX),,Mário Bortolotto,  Francisco Eldo Mendes,,0.05,BR
The Promise,,2016, Thriller,,, Bambang Drias,,Oscar Isaac,  Charlotte Le Bon,  Christian Bale,0.75,
Lung II,  Borderline Cinema ,2016, Horror , Mystery , Thriller, Phil Stevens (IX),,Phil Stevens,  David Chopping,  Samantha Coppola,0.01,US
The Boss Is Mine,  The Oracle Films ,2016, Comedy,,, Okechukwu Oku,,Ime Bishop Umoh,  Mike Godson,,0.045,NG
Soltera Codiciada,  Tondero Films ,2018, Comedy,,, Bruno Ascenzo , Joanna Lombardi (II),Karina Jordán,  Gisela Ponce de León,  Jely Reátegui,0.5,PE
A tu lado,  Lfante Films ,2018, Comedy,,, Martin CasapÃ­a Casanova,,Fausto Mata,  Guillermo Castañeda,  Alessandra Fuller,1.2,PE
Twisted Blues,  Muddville ,2017, Drama,,, Jac Mulder,,Brent Bailey,  Brittany Benjamin,  Josh Crotty,1,AE
Obsolete,  Truthstream Media ,2016, Documentary , News,, Aaron Dykes , Melissa Dykes,Aaron Dykes,  Joe Joseph,  Melissa Dykes,0.001,US
Thor Ragnarok Documentary,  Film Ethnographer ,2017, Documentary,,, Yvonne Wan (II),,Philip Mateer,,,0.005,US
O. Unilateralis,  Gloomy Sunday Productions ,2016, Drama , Horror , Mystery, Bruce H. Bosley , Michelle Nessk,Bruce H. Bosley,  Michelle Nessk,  Danial Fields,0.007,US
Rose-Colored,  INVAR Entertainment ,2016, Drama , Sci-Fi,, Adam Cosco (I),,Eva Hamilton,  Adam Huber,  Jason Peter Kennedy,0.02,US
Triple Feature,  Bare Bear Productions ,2016, Comedy , Crime , Drama, JÃ¸rgen Pedersen (V),,Maggie Wininger,  Jeffrey M. Wright,  Gabriel Beckerle,0.004,US
Chameleon Shadow,,2017, Horror,,, Sam Mills (XI),,Claudia Bethers,  Louis Burkhardt,  Kirsten Caron,0.01,
Fronteras,,2018, Drama,,, Andrew Dean (XV),,Damian Michael Pearsall,  Wade Everett,  Jason Exum,0.03,
Brooklyn Fever,  A Flo X Production ,2016, Thriller,,, Wanly Florexile,,Eddy jn Babtiste,  Malak jn Babtiste,  Elvis Bryan,0.05,US
Scarecrows of the Third Reich,,2018, Sci-Fi,,, Troy Fritz,,Timothy Scott Wimer Jr.,,,0.01,
Devotion,  Capricorn Rising ,2017, Thriller,,, Jessie Seitz,,Linnea Quigley,  Victor Bonacore,  Erin Brown,0.002,US
Burguesinha,  Dias Entertainment ,2017, Comedy,,, Nick Brokaw (II),,Gabriela Dias,  Carlyn Duffy,,0.3,US
Against All Odds,  Mpire Films ,2018, Drama,,, Romeo Antonio,,Elad Rosenzweig,  Rinat Rosenzweig,  Enav Elharhar,1.6,US
The Guardian,  ID Production Studios ,2016, Action , Mystery , Sci-Fi, Logan Taaffe,,Trevor Lawson,  Veronica Seguin,  Mason Girvin,0.0002,US
The Devils Door,  Chapter 11 films ,2016, Horror,,, Gordon Price (V),,Shawn Biery,  Joanna Burke,  Billy Obryen Cobb,0.01,US
The Other One,,2017, Horror,,, Tom Cadman (I) , Chris Conlee,Siobhan Finneran,  Rebecca Front,  Ellie White,0.05,
Scary Story Slumber Party,  Psychokillers Films ,2017, Horror , Thriller,, John Johnson (XIV) , Jonathan Moody (I),Faron Brown,  Russell A. Bryan,  Takiah Coleman,0.005,US
Spook,  Colton Tran Films ,2017, Horror,,, Colton Tran,,Domenick DeFrank,  Michelle M. Tucker,  Chandler Lane,0.01,US
Verte Partir,  Polenta Films ,2018, Drama,,, Javier Huerta (VIII),,Said Sandoval,  Carlos Hoeflich,  Paulina Antúnez,0.034,MX
El Chata,  Studio Creativo ,2017, Drama,,, Gustavo Ramos Perales,,Blas Sien Diaz,  Alexon Duprey,  Modesto Lacen,0.5,PR
Ulterior Motives: Reality TV Massacre,  Overflow Entertainment ,2016, Drama , Horror , Mystery, Paul D. Hannah,,Donnabella Mortel,  Jaclyn Betham,  Chris Hayes,2,US
North by El Norte,  Find Art Films ,2016, Action,,, Mark Christensen (II) , Mark Christensen (X),Richard Azurdia,  Yeniffer Behrens,  Carmen Corral,2,US
Teli and Toli,,2016, Comedy , Romance,, Aleksandr Amirov,,Vladislav Demin,  Ivan Dubrovskiy,  Anatoliy Dzivaev,1.1,
Surfers and Cowboys,  Walking on Water ,2016, Action,,, Bryan S. Jennings,,Rob Smets,  Aaron Gold,  Zane Cook,0.2,US
Aj Zombies!,  La Pepa ,2017, Adventure , Comedy,, Daniel MartÃ­n RodrÃ­guez (I),,Emilram Cossío,  Anahí de Cárdenas,  César Ritter,0.6,PE
The Avenue,  Flick Flingr ,2017, Crime,,, Brian Vernick,,Cheryl M. Bailey,  Louis Ballezzi,  Shawn Bittenbender,0.042,US
Safe Haven,  Terminal 52 Films ,2016, Horror,,, Kelly Weaver (III),,Mina Nicole Alexis,  Manny Blue,  Nancy Brame,0.01,US
Stella,  Fromage Film ,2016, Family,,, Vanessa Greene , Michael P. May (II),Dorian Nkono,  Cain Thompson,,0.3,US
Lowriders vs Zombies from Space,  Silent Flight Media ,2017, Comedy , Horror , Sci-Fi, David F. Mendez,,Katusha Robert,  Randy Green,  Cristina Cruz Rodríguez,0.005,US
Holy Hustle,  Awalkonwater Entertainment ,2017, Comedy,,, Mark A. Cummings,,Michael Artis,  Lisa Y. Banks-Sparrow,  Al Battle,0.15,US
In April,  22 Dollars Films ,2016, Action , Drama , Fantasy, Carlo Bruno (I),,Lily Blane,  Carlo Bruno,  Marina Bruno,0.08,CA
Radio Dreams,  Butimar Productions ,2016, Comedy,,, Babak Jalali,,Lars Ulrich,  Boshra Dastournezhad,  Litz Plummer,0.5,US
Streets,  John Kenneth Wagner Media ,2017, Drama,,, John Kenneth Wagner,,Lezley McSpadden,  Michael Brown Sr.,  David Whitt,0.1,US
"A Good Day to Die, Hoka Hey",  Monfils Pictures ,2016, Documentary , Biography , News, Harold Monfils (II),,Roger Arnold,  Connie Booth,  Seamus Conlan,0.98,MY
Amethyst,  Frolic Pictures ,2016, Adventure , Fantasy , Horror, Jared Masters,,Grace Klich,  Valerie Miller,  Derrick Biedenback,0.075,US
Willie and Me,  Hassmann Production ,2017, Comedy,,, Eva HaÃŸmann,,Darby Stanchfield,  Peter Bogdanovich,  Nea Dune,1,US
BROS. On The Rocks,,2018, Comedy,,, Don Tjernagel,,Don Tjernagel,  Matt Lee Ingebritson,  Josh Bash,0.005,
Mississippi Turntup,,2017, Action,,, Dewey Allen,,Mystikal,  Dewey Allen,  Just Brittany,0.5,
Watch the Sunset,  BarrLipp Productions ,2017, Action , Crime , Drama, Tristan Barr , Michael Gosden (I),Tristan Barr,  Mitchell Booth,  Catherine Dawson,1,AU
The Original Image of Divine Mercy,  Springtime Productions ,2016, Documentary,,, Daniel DiSilva,,Jim Gaffigan,  Harry Connick Jr.,  Cardinal Christoph Schönborn,0.19,US
Ghost Goggles,  Magic Elevator ,2016, Adventure , Family , Horror, Creep Creepersin,,Jessica Nagel,  Makayla Gubbay,  Debra Kurtz,1,US
Winners Tape All: The Henderson Brothers Story,  IWC Films ,2016, Comedy , Horror,, Justin Channell,,Zane Crosby,  Josh Lively,  Chris LaMartina,0.001,US
Code Black,  Five Carat Films ,2017, Action,,, Aj Cross,,Aj Cross,  Nassera Bougherara,  Ryan Carrion,0.05,US
Cash Flow 2,  Day Two Pictures ,2016, Comedy,,, Sami Koujan,,Carlos Azar,  Antoine Balabane,  Boutros Farah,0.8,LB
The Book of Secrets,,2017, Horror,,, Shalom Kolontarov (I) , Yakov Kolontarov,Tiffany Browne-Tavarez,  Nahuel Gorosito,  Lior Kolontarov,0.02,
Wildcat Wendall Cooley,  3 Crows b4 Midnight Entertainment Productions ,2016, Documentary,,, Brian Logan (VII),,Tony Anthony,  Wendall Cooley,  Jerry Lawler,0.007,US
Run,  Tiger Republic Films ,2017, Action , Romance , Thriller, Theo Ukpaa,,Ivan Aybar,,,0.3,NG
Prank Week,  Manny Velazquez Films ,2017, Crime , Mystery , Thriller, Manny Velazquez (I),,Zachary Williamson,  Angie Velazquez,  Jason Barone,0.001,US
Wasps,,2017, Action,,, Rob Hawk (I),,"""Erin OBrien""",  Cabrina Collesides,  Mark Behar,6.3,
Chased,  Cloudmaker Pictures ,2018, Drama,,, Bruce Troxell,,Ray Hopper,  Troy Lund,  Juan Aleman,0.2,US
Make,  Musicbed ,2016, Documentary,,, Christian Schultz (V),,Jonathan Bregel,  Aaron Draplin,  Michael Finster,0.5,US
Nham Mat Thay Mua He,  Snowbugs ,2018, Drama , Romance,, Cao Thuy Nhi,,Takafumi Akutsu,  Phuong Anh Dao,  Cong Ninh Nguyen,0.3,JP
SinVerguenzas,  Travieso Productions ,2016, Comedy,,, Danny Foxx , Manolo Travieso,Adan Allende,  Fernando Allende,  Alejandro Antonio,1.2,US
Caja de Muerto,  Cine Posible ,2017, Action , Mystery , Thriller, Eladio Feliciano-Matos,,Jorge Antares,  Damian Calderon,  William Canales,0.075,PR
Body Farm,  KVT Productions ,2018, Horror,,, Brandon Keenan (I) , Nick LaMantia,John W. Iwanonkiw,  Richard Christy,  David Ogrodowski,0.035,US
Genesis,  KillgoreFilms ,2016, Horror , Sci-Fi,, Michael F. McCarthy,,Robb Taft,  Haley Johnson,  Dylan Meyer,0.002,US
Haunted Routes: Evil East Coast Highway,  Shockfest Horror Factory ,2018, Horror,,, Candice Rollins,,G.R. Claveria,  Matthew Rosvally,,0.01,US
Fake the Joy,  Roske Entertainment ,2017, Drama,,, Brent Roske,,Megan Hensley,  Caroline Barry,  Nicole Cinaglia,0.1,US
The Life Exotic: Or the Incredible True Story of Joe Schreibvogel,  46M ,2016, Documentary,,, J.D. Thompson (IV),,Joe Schreibvogel,,,0.002,US
Rise of the Empire,  Andromeda Motion Pictures ,2016, Action , Adventure , Sci-Fi, Richard Lowry,,Tatum Miranda,  William Romeo,  Gustavo Cardozo,0.15,US
Killer Punjabi,  Golden Coin Entertainment ,2016, Action,,, Lakhvir Bansi,,Buwan Azad,  Pooja Batra,  Saman Chetan,1,CA
MBA Partners,  Mercury Films,2016, Comedy , Romance,, Tae You Chang,,Aaron Kwok,  Yan Tang,  Yibo Wang,9.5,
Apocalyptic Horror,,2017, Horror,,, Mike Tack,,Clive Ashenden,  Keith Eyles,  Richard Nock,0.03,
Maximilian,  CognitoFilms ,2016, Documentary , Biography , Family, Nicolas Greinacher,,Lili Epply,  Aaron Friesz,  Miriam Fussenegger,0.15,CH
Hurt,  Bentrospection Productions ,2016, Drama,,, Benjamin M. Brown,,Kolby Grimsley,  Autumn Frankart,  Stephen Baltz,0.003,US
Los Angeles Kidnapping,  Beijing Zhuimeng Culture ,2017, Action , Crime , Drama, Fei Yang (II) , Rachel Zhou (II),Alexander Aigner,  Fabian Blakley,  Fabio Blakney,1.8,CN
Psychotic!,  Destruction Inc Films ,2016, Horror , Mystery,, Maxwell Frey , Derek Gibbons (II),Kristen Martin,  Clint Keepin,  Maxwell Frey,0.05,US
The Measure of Your Faith,,2016, Drama , Thriller,, Jonathon James Williams,,Bruce Katzman,  Jonathan Williams,  Stephen Sitkowski,0.075,
Nightfall,  Simon Aeby Films ,2018, Drama,,, Simon Aeby,,Darren Berrecloth,  Carson Storch,  Tom Van Steenbergen,0.5,CH
Papers X,  Who U Tellin Productions ,2018, Action,,, Tony Tale,,Sarah Agar,  Kevin Beahon,  Kristina Beahon,0.0005,US
Grotesque,  Atomic Poison ,2016, Horror,,, Elizabeth Culbreth,,Christopher Inlow,  Wyzae Crankfield,  Elizabeth Culbreth,0.05,US
Endo What?,,2016, Documentary,,, Shannon Cohn (II),,David Adamson,  Robert B. Albee,  Mary Lou Ballweg,0.035,
Antes Que Cante El Gallo,"  Deluz, CRL ",2016, Drama,,, Ari Maniel Cruz,,Cordelia González,  Miranda Purcell,  Kisha Tikina Burgos,0.5,PR
O Barco,  Iluminura Filmes ,2018, Drama,,, Petrus Cariry,,Rômulo Braga,  Veronica Cavalcanti,  Samya De Lavor,0.25,BR
For What It's Worth,  SIMZ Productions ,2016, Drama,,, James Simmons (VII),,Pete Stringfellow,  Shannon Rider,  Jose Valle,0.02,US
Englishman in L.A: The Movie,  Film Moir ,2017, Comedy,,, David Vendette (I),,Charles Irving Beale,  Krystal Joy Brown,  Emrhys Cooper,0.05,US
Grey Agenda,  Slo Rowe Entertainment ,2017, Sci-Fi,,, Larry Stanley,,Tim Newkirk,  Robb Hudspeth,  Larry Stanley,0.025,US
Jericho,  FoxTrot Productions ,2017, Action,,, Emir Skalonja,,Mirela Ajdimovski,  Tyler Cheman,  Brandon Czerwinski,0.002,US
Divorce Texas Style,  Rusty Yankie Productions ,2016, Comedy,,, Corbin Timbrook (I),,Daniel Baldwin,  Melody Moss,  Marshall R. Teague,0.3,US
Marvelous Mandy,  A Cut to the Chase Productions ,2016, Fantasy , Thriller,, Chase Dudley (I),,Kristina L. Ives,  Ryley Nicole,  Chase Dudley,0.015,US
Waikiki,  Waikiki The Film ,2018, Drama,,, Christopher Kahunahana,,Peter Shinkoda,  Danielle Zalopany,  Jason Quinn,0.45,US
The Colossus of Destiny: A Melvins Tale,  Hellsmore Media Productions ,2016, Documentary , Music,, Bob Hannam (I),,Jello Biafra,  Chris Cornell,  Dale Crover,0.05,US
Yeh Hai India,  Dlb Films ,2017, Action , Adventure , Drama, Lom Harsh,,Mohan Agashe,  Antara Banerjee,  Jan Bostock,0.7,IN
Medellin: A Journey Inside,  The Screenwriter ,2016, Documentary,,, Willie Grady,,Willie Grady,  John Jenkins,,0.011,US
Hectic Knife,  Munrovia Pictures ,2016, Action , Comedy , Horror, Greg DeLiso,,Peter Litvin,  Georgia Kate Haege,  J.J. Brine,0.015,US
Man,  Animals ,2017, Drama,,, Amir Motlagh,,Tom Holland,  Michael Keaton,  Robert Downey Jr.,0.1,US
Dark Hours: Typee,  Rabbit Maker Presents Online ,2016, Drama,,, Caroline Anthony (I) , Marc Cleary (II),Vincent Alvas,  Michelle Arthur,  Bri Azmoudeh,0.066,US
Armero,,2017, Drama,,, Christian Mantilla-Vargas,,Humberto Arango,  Alejandro Buenaventura,  Mauricio Figueroa,0.5,
Death-Scort Service Part 2: The Naked Dead,  Gatorblade Films ,2017, Horror,,, Sean Donohue (I),,Krystal Pixie Adams,  Bob Glazier," "" Sushi Xhyvette Holder""",0.002,US
Matlatl,  Black Coyote ,2017, Horror , Mystery,, Migue Siman,,Oscar Renè,  Mauricio Fuentes,  Adrián Miguel,0.05,SV
Tales of Two Who Dreamt,  Medium Density Fibreboard Films ,2016, Documentary,,, Andrea Bussmann (II) , NicolÃ¡s Pereda,Alexander Laska,  Sandor Laska,  Sandorné Laska,0.08,CA
Pressing On: The Letterpress Film,  Bayonet Media ,2016, Documentary,,, Erin Beckloff (I) , Andrew P. Quinn,Adam Winn,  Jim Moran,  Stephanie Carpenter,0.11,US
Revelation: Dawn of Global Government,  Heartland Pictures ,2016, Documentary,,, Chuck Untersee,,Chuck Baldwin,  Jerry Boykin,  Mark Collins,1,US
Hollow,  Paradigms Edge Pictures ,2017, Drama , Mystery , Thriller, Isaac Akers,,Dianna Agron,  Shawn Ashmore,  Rachelle Lefevre,0.001,US
